Year_Month,Sales
2013-01-01,34331275.69
2013-02-01,31993387.43
2013-03-01,32516973.42
2013-04-01,35574322.8
2013-05-01,38773447.14
2013-06-01,36184931.46
2013-07-01,37119630.11
2013-08-01,35298660.21
2013-09-01,38427086.69
2013-10-01,44381566.87
2013-11-01,45509132.93
2013-12-01,33599355.7
2014-01-01,44585533.12
2014-02-01,41547928.41
2014-03-01,36944376.21
2014-04-01,43432714.67
2014-05-01,40848875.22
2014-06-01,40363106.85
2014-07-01,43443770.41
2014-08-01,41289507.62
2014-09-01,43768118.31
2014-10-01,43762309.74
2014-11-01,42361272.2
2014-12-01,44227134.39
2015-01-01,46564382.34
2015-02-01,33056563.77
2015-03-01,37848244.92
2015-04-01,35121773.37
2015-05-01,35550018.66
2015-06-01,41736768.35
2015-07-01,33102660.21
2015-08-01,23877987.68
2015-09-01,24900202.17
2015-10-01,16366508.41
2015-11-01,14747945.78
2015-12-01,14990343.22
2016-01-01,14730209.77
2016-02-01,11205650.88
2016-03-01,15005358.0
2013-01-01,2750522.106
2013-02-01,2802998.1139999996
2013-03-01,2571812.325
2013-04-01,3434578.787
2013-05-01,3770630.267
2013-06-01,3711284.229
2013-07-01,3789732.854
2013-08-01,3696782.152
2013-09-01,3978121.186
2013-10-01,4512034.219
2013-11-01,5255492.113
2013-12-01,4009156.045
2014-01-01,4819482.871
2014-02-01,4042552.077
2014-03-01,4943479.647
2014-04-01,5065138.123
2014-05-01,5789616.257999999
2014-06-01,5944495.745
2014-07-01,5591754.791
2014-08-01,5365431.794
2014-09-01,5615625.4860000005
2014-10-01,6456997.34
2014-11-01,6430820.982000001
2014-12-01,5796616.386
2015-01-01,5896936.94
2015-02-01,6042489.493
2015-03-01,6514454.357000001
2015-04-01,6724083.0370000005
2015-05-01,6037618.046
2015-06-01,6862206.977999999
2015-07-01,7665493.989
2015-08-01,6509555.041
2015-09-01,7038643.176
2015-10-01,7443961.65
2015-11-01,7837190.591
2015-12-01,6428436.536
2016-01-01,7532124.941000001
2016-02-01,7315336.277000001
2016-03-01,7453467.762
2015-01-01,126000.0
2015-02-01,4180050.0
2015-03-01,7437150.0
2015-04-01,7626150.0
2015-05-01,6189750.0
2015-06-01,6611850.0
2015-07-01,9405900.0
2015-08-01,15353100.0
2015-09-01,19533150.0
2015-10-01,18515700.0
2015-11-01,18802350.0
2015-12-01,20257650.0
2016-01-01,17375400.0
2016-02-01,16280775.0
2016-03-01,20441925.0
2016-04-01,15893325.0
2016-05-01,20074950.0
2016-06-01,17676225.0
2016-07-01,16461900.0
2016-08-01,17821125.0
2016-09-01,18586575.0
2016-10-01,17909325.0
2016-11-01,19826100.0
2016-12-01,16550100.0
2013-01-01,314600.54
2013-02-01,434876.18
2013-03-01,268467.42600000004
2013-04-01,461242.63700000005
2013-05-01,464540.758
2013-06-01,403575.717
2013-07-01,668832.2579999999
2013-08-01,477719.658
2013-09-01,550192.785
2013-10-01,591403.997
2013-11-01,507371.21200000006
2013-12-01,558448.502
2014-01-01,621086.3979999999
2014-02-01,743043.89
2014-03-01,565069.238
2014-04-01,914342.015
2014-05-01,777587.8709999999
2014-06-01,555593.925
2014-07-01,1212598.862
2014-08-01,665559.794
2014-09-01,807257.733
2014-10-01,808877.849
2014-11-01,1077531.72
2014-12-01,1159913.034
2015-01-01,767739.738
2015-02-01,911125.225
2015-03-01,1003358.955
2015-04-01,1151564.735
2015-05-01,973680.4659999999
2015-06-01,1130211.12
